,link,builtup_area,carpet_area,rooms,furnish,address,bathrooms,balcony,facing,gas_pipline,gated_community,swimming_pool,gym,intercom,power_backup,garden,sports,more_amenities,current_floor,total_floor,lease_type,property_age,covered_parking,open_parking,school,university,bus_stop,railway,mall,metro_station,hospital,restaurant,rent
855,https://housing.com/rent/17644303-650-sqft-1-bhk-apartment-on-rent-in-powai-mumbai,650,429,1,Semi Furnished,"Kanakia Silicon Valley, Ramabai Ambedkar Nagar, Powai, Mumbai",1,0,North,1,1,1,1,1,0,1,1,31,15,28,Family  Bachelor  Company,3,1,0,1,1,0,0,0,1,1,0,65000
856,https://housing.com/rent/18410568-1145-sqft-2-bhk-apartment-on-rent-in-sion-mumbai,1145,955,2,Semi Furnished,"Lodha Enchante, Sion, Mumbai",2,3,North,0,1,1,1,1,1,1,1,38,25,43,Family,6,1,0,1,1,0,0,0,0,1,1,125000
857,https://housing.com/rent/18207932-1550-sqft-3-bhk-apartment-on-rent-in-powai-mumbai,1550,1068,3,Semi Furnished,"Shapoorji Pallonji Vicinia, Ramabai Ambedkar Nagar, Powai, Mumbai",2,1,South-East,1,1,1,1,1,1,1,1,47,12,21,Family  Bachelor  Company,4,1,0,1,1,0,0,0,1,1,0,105000
858,https://housing.com/rent/18207959-1370-sqft-3-bhk-apartment-on-rent-in-powai-mumbai,1370,980,3,Fully Furnished,"Supreme Lake Pleasant, Ramabai Ambedkar Nagar, Powai, Mumbai",2,1,North-East,1,1,1,1,1,1,1,1,12,9,22,Family  Bachelor  Company,12,1,0,1,1,0,0,0,1,1,0,110000
859,https://housing.com/rent/18230052-650-sqft-1-bhk-apartment-on-rent-in-worli-mumbai,650,550,1,Fully Furnished,"Lokhandwala Lady Ratan Tower, Upper Worli, Worli, Mumbai",1,0,East,1,1,1,1,1,1,1,1,14,12,28,Family  Bachelor  Company,22,1,1,1,1,0,0,0,0,1,1,80000
860,https://housing.com/rent/18653497-1135-sqft-2.5-bhk-apartment-on-rent-in-goregaon-west-mumbai,1135,908,2.5,Semi Furnished,"Ekta Tripolis, Siddharth Nagar, Goregaon West, Mumbai",2,1,North,1,1,1,1,1,1,1,1,45,25,38,Family,2,1,0,0,1,0,0,0,1,1,0,81000
861,https://housing.com/rent/18653512-1135-sqft-2.5-bhk-apartment-on-rent-in-goregaon-west-mumbai,1135,908,2.5,Semi Furnished,"Ekta Tripolis, Siddharth Nagar, Goregaon West, Mumbai",2,1,North,1,1,1,1,1,1,1,1,45,23,38,Family,2,1,0,0,1,0,0,0,1,1,0,83000
862,https://housing.com/rent/18653544-1355-sqft-3-bhk-apartment-on-rent-in-goregaon-west-mumbai,1355,1084,3,Semi Furnished,"Ekta Tripolis, Siddharth Nagar, Goregaon West, Mumbai",2,1,North,1,1,1,1,1,1,1,1,45,22,38,Family,2,1,0,0,1,0,1,0,1,1,0,96000
863,https://housing.com/rent/18656557-1750-sqft-3-bhk-apartment-on-rent-in-powai-mumbai,1750,1050,3,Fully Furnished,"L And T Emerald Isle T10, Chandivali, Powai, Mumbai",3,1,East,1,1,1,1,1,1,1,1,15,2,20,Family  Bachelor  Company,2,2,0,1,1,0,0,0,1,1,0,160000
864,https://housing.com/rent/18659638-1480-sqft-3-bhk-apartment-on-rent-in-powai-mumbai,1480,986,3,Semi Furnished,"Kanakia Silicon Valley, Krishna Nagar, Powai, Mumbai",3,0,East,1,1,1,1,1,1,1,1,31,16,24,Family  Company,1,1,0,1,1,0,0,0,1,1,0,120000
